Index,Country,Eigenvector Centrality Difference
Caojing,China,2.511177782351493e-06
Antalya,Turkiye,2.5072945912610107e-06
Gangavaram,India,2.5071213355170815e-06
Massawa (Mitsiwa),Eritrea,2.4928944892730657e-06
Mariel,Cuba,2.4614189384195004e-06
Isle of Grain,U.K.,2.4293130610783358e-06
Dordrecht,Netherlands,2.367551117080587e-06
Bari,Italy,2.296900219543962e-06
Kijang,Indonesia,2.2938446605744617e-06
Aalborg,Denmark,2.2603467934898248e-06
Odesa,Ukraine,2.2533915866268536e-06
Nanjing,China,2.2394272785622124e-06
Huanghua Port,China,2.237939774815109e-06
Mukalla,Yemen,2.2295560487248277e-06
Saldanha Bay,South Africa,2.1934770122075158e-06
Alesund,Norway,2.1904290765652914e-06
Valletta,Malta,2.1891798204142713e-06
San Antonio Este,Argentina,2.186569354358055e-06
Port-of-Spain,Trinidad & Tobago,2.096822154015259e-06
Palermo,Italy,2.069250351077061e-06
Fengxian,China,2.0344364193144657e-06
Manaus,Brazil,1.9713285684272116e-06
Alang Ship Recycling Facility,,1.9538955064812143e-06
Marugame,Japan,1.926142453630206e-06
Gavle,Sweden,1.9119357310399e-06
Mokpo,South Korea,1.8829947513816965e-06
Svelgen,Norway,1.870147746595622e-06
"Plaju, Sumatra",Indonesia,1.836661251148971e-06
Jask,Iran,1.83581405544995e-06
Gelendzik,Russia,1.8078001809921467e-06
Umm al Qaiwain,United Arab Emirates,1.8065463280787435e-06
Nacala,Mozambique,1.8054624049195376e-06
Santo Tomas de Castilla,Guatemala,1.7745520340919956e-06
Santander,Spain,1.742815510399046e-06
Wenzhou Port,China,1.7410343783785915e-06
Bergen,Norway,1.7032755492248868e-06
Merksem,Belgium,1.699364128640099e-06
Changjiangkou,China,1.6736023580033024e-06
Nijmegen,Netherlands,1.6723941677229875e-06
Fangcheng Port,China,1.6554510296115643e-06
Almeria,Spain,1.6548581851107854e-06
Bata,Equatorial Guinea,1.6495267056127731e-06
Jingjiang Port,China,1.5700772067633284e-06
Werkendam,Netherlands,1.563462444016496e-06
San Juan,Puerto Rico,1.561492955691706e-06
Sodertalje,Sweden,1.5486011537583386e-06
Kokkola (Karleby),Finland,1.5110517933374763e-06
Paradip Port,India,1.5076146403258683e-06
Madang,Papua New Guinea,1.474494805487534e-06
"Amamapare, Ij",Indonesia,1.467400330797329e-06
Djen Djen,Algeria,1.4598559656989254e-06
